"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"UX_workingday_light_avg","0.15154809","0.13584314","0.12768759","0.17395554","0.18697355","0.19325034","0.14927140","0.16747349","0.14623747","0.14277600","0.09029047","0.14338643"
"UX_workingday_light_base","0.003850214","0.000000000","0.000000000","0.000000000","0.027308471","0.026486932","0.024864865","0.013074074","0.023766667","0.012933824","0.003526316","0.011542731"
"UX_workingday_hvac_peak","0.001335262","0.001353300","0.002473659","0.007997800","0.007830757","0.009227993","0.006270270","0.009045741","0.008166667","0.005007353","0.004631579","0.012201120"
"UX_workingday_hvac_avg","0.001089148","0.001092767","0.001465502","0.003464875","0.003555890","0.004094514","0.003186939","0.004265590","0.003933747","0.002746740","0.002968779","0.005695298"
"UX_workingday_hvac_base","0.0009273571","0.0009217000","0.0009106364","0.0017686000","0.0018330221","0.0019546554","0.0020000000","0.0019629630","0.0020000000","0.0019240588","0.0018947368","0.0016013056"
"UX_non_workingday_total_peak","0.3314016","0.2900493","0.3315629","0.1912843","0.3074763","0.3283491","0.3494706","0.3811786","0.3750000","0.2482568","0.2626111","0.2363011"
"UX_non_workingday_total_avg","0.2073954","0.1598022","0.1670865","0.1433786","0.1885437","0.2044195","0.2013425","0.2434740","0.1814618","0.1587456","0.1663391","0.1447907"
"UX_non_workingday_total_base","0.10171660","0.06597825","0.06990350","0.09738525","0.11747165","0.11325536","0.11585294","0.11625000","0.10416667","0.09740541","0.10672222","0.09389250"
"UX_non_workingday_total_woHVAC_peak","0.3303867","0.2890297","0.3278911","0.1847005","0.3013580","0.3220887","0.3445294","0.3732143","0.3715000","0.2451351","0.2562778","0.2285891"
"UX_non_workingday_total_woHVAC_avg","0.2062130","0.1585765","0.1640981","0.1390343","0.1841822","0.2005041","0.1975282","0.2363638","0.1787500","0.1564154","0.1628634","0.1405714"
"UX_non_workingday_total_woHVAC_base","0.10038760","0.06462275","0.06862169","0.09557750","0.11474115","0.11085111","0.11350000","0.11175000","0.10175000","0.09544595","0.10461111","0.09212457"
"UX_non_workingday_total_woETC_peak","0.3016658","0.2672852","0.3014653","0.1637423","0.2824055","0.3096618","0.3246765","0.3498214","0.3390000","0.2182703","0.2225556","0.1879043"
