id,joined,leaved
191,1445242301146,1445242302216
192,1445242525044,1445242526917
193,1445242525977,1445242526954
194,1445242529405,1445242530639
195,1445242578325,1445242579209
197,1445242606888,1445242607835
215,1445244181381,1445244182561
216,1445244187391,1445244187412
217,1445244891060,1445244891092
218,1445244895418,1445244895557
219,1445244901618,1445244911288
220,1445244908007,1445244910189
221,1445244914563,1445244927131
222,1445244927503,1445244928559
223,1445244935717,1445244939676
224,1445244944295,1445244945951
225,1445244946648,1445244960427
226,1445244963094,1445244967176
227,1445244965364,1445244969892
230,1445244980823,1445244981326
228,1445244971176,1445244990728
231,1445244988487,1445245001604
232,1445245006193,1445245009308
233,1445245025182,1445245032282
234,1445245035024,1445245036648
235,1445245053990,1445245055282
236,1445245059662,1445245060749
237,1445245093044,1445245094706
240,1445245103846,1445245106072
239,1445245099121,1445245100171
241,1445245135304,1445245136010
242,1445245459368,1445245460817
243,1445245496212,1445245497617
244,1445245499812,1445245502210
245,1445245500904,1445245501126
246,1445245502047,1445245502647
248,1445247092868,1445247102518
249,1445249450424,1445249453260
251,1445249689377,1445249690684
252,1445249758731,1445249758754
253,1445249758892,1445249760367
254,1445249792439,1445249793111
255,1445249946769,1445249948751
258,1445249969566,1445249970588
259,1445250480277,1445250480732
260,1445250817877,1445250818866
261,1445251105068,1445251106283
262,1445251598455,1445251598506
263,1445251600105,1445251614857
264,1445251766441,1445251767159
265,1445254740345,1445254740958
266,1445257640075,1445257640834
267,1445257674550,1445257674998
268,1445260761869,1445260767510
290,1445268359634,1445268365085
291,1445268513032,1445268513312
292,1445297530076,1445297530746
293,1445303991743,1445303992318
294,1445303993562,1445303994431
295,1445303993872,1445304001215
296,1445303998097,1445304001536
297,1445305857920,1445305858161
298,1445307061085,1445307061318
299,1445307756983,1445307757183
300,1445307783613,1445307785736
301,1445307847493,1445307847692
302,1445307851696,1445307851725
303,1445308886519,1445308886697
304,1445309313896,1445309314427
305,1445309496577,1445309498670
306,1445309734580,1445309734927
307,1445309882088,1445309882821
308,1445313051475,1445313052309
309,1445313054213,1445313055670
310,1445313105265,1445313105586
311,1445313412681,1445313412711
312,1445313775360,1445313775909
314,1445316678560,1445316678594
315,1445317385265,1445317387041
316,1445317390371,1445317402684
317,1445317517823,1445317519484
318,1445317559216,1445317559779
329,1445318223920,1445318225352
330,1445318279217,1445318280230
333,1445319089296,1445319089908
334,1445319101545,1445319101566
335,1445320131303,1445320132256
336,1445320395734,1445320395815
337,1445320685292,1445320685870
338,1445321634069,1445321634486
339,1445321663632,1445321664026
340,1445322162127,1445322162513
341,1445322170570,1445322173125
342,1445322263903,1445322264397
343,1445323272599,1445323272649
344,1445323272796,1445323273012
345,1445324979469,1445324979921
346,1445324980071,1445324980652
347,1445325535766,1445325535813
348,1445325835536,1445325838280
349,1445326820911,1445326821312
350,1445326915930,1445326916128
351,1445327948158,1445327952435
352,1445328027312,1445328027359
353,1445328435447,1445328435627
354,1445329095017,1445329096490
355,1445329952959,1445329953458
356,1445330837723,1445330838668
357,1445331592767,1445331593879
358,1445331597073,1445331597124
359,1445331610920,1445331610976
360,1445335826529,1445335827252
362,1445342391028,1445342391642
363,1445342860918,1445342861586
364,1445343010265,1445343010288
365,1445343545229,1445343546957
366,1445343585926,1445343595054
368,1445348088073,1445348088237
367,1445348083513,1445348084225
369,1445352070705,1445352071001
375,1445385624559,1445385625477
